ID;Bezeichner;Gehäuse;Stückzahl;Bezeichnung;Anbieter und Referenz
1;L2;L_0805_2012Metric_Pad1.15x1.40mm_HandSolder;1;12u;
2;R19,R21,R17,R12,R13,R15;R_0805_2012Metric;6;100;
3;U4,U6,U5,U7;SOT-23-5_HandSoldering;4;PM8841;
4;R1;R_0805_2012Metric;1;100k;
5;D1,D2;LED_0805_2012Metric;2;LED;
6;U11,U8,U9,U10;TO-263-2;4;STB16NF06L;
7;C3;C_0805_2012Metric;1;2.2n;
8;J4,J5,J3;PinHeader_1x08_P2.54mm_Vertical;3;Conn_01x08_Male;
9;SW1,SW2;SW_SPST_B3S-1000;2;SW_Push;
10;U1;TQFP-32_7x7mm_P0.8mm;1;ATtiny48-AU;
11;J7,J1;PinHeader_1x02_P2.54mm_Vertical;2;Conn_01x02_Male;
12;J8;PinHeader_1x06_P2.54mm_Vertical;1;Conn_01x06;
13;R9,R10,R11;R_0805_2012Metric;3;1k;
14;R5,R6,R4;R_0805_2012Metric;3;10k;
15;R3;R_0805_2012Metric;1;49.9k;
16;R2;R_0805_2012Metric;1;448k;
17;R8;R_0805_2012Metric;1;22.1k;
18;R7;R_0805_2012Metric;1;51k;
19;J6;Jack_3.5mm_CUI_SJ-3523-SMT_Horizontal;1;AudioJack2;
20;C1;C_0805_2012Metric;1;100n;
21;J9,J10,J11,J12;TerminalBlock_MetzConnect_Type011_RT05502HBWC_1x02_P5.00mm_Horizontal;4;Screw_Terminal_01x02;
22;J2;PinHeader_1x04_P2.54mm_Vertical;1;Conn_01x04_Male;
23;C2,C5;C_0805_2012Metric;2;2.2u;
24;C4;CP_Elec_6.3x3.9;1;47u;
25;C6;C_0805_2012Metric;1;0.1u;
26;C7;C_0805_2012Metric;1;22u;
27;L1;L_0805_2012Metric_Pad1.15x1.40mm_HandSolder;1;68u;
28;U2;TI_SO-PowerPAD-8;1;LM5164;
29;U3;SOT-23-6_Handsoldering;1;TPS560430;